GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Ethnic group in Scotland [S] : Total\ Ethnic group (Scotland) - Unit : Persons,Ethnic group in Scotland [S] : White - Unit : Persons,Ethnic group in Scotland [S] : White\ Scottish - Unit : Persons,Ethnic group in Scotland [S] : White\ Other British - Unit : Persons,Ethnic group in Scotland [S] : White\ Irish - Unit : Persons,Ethnic group in Scotland [S] : White\ Gypsy/Traveller - Unit : Persons,Ethnic group in Scotland [S] : White\ Polish - Unit : Persons,Ethnic group in Scotland [S] : White\ Other White - Unit : Persons,Ethnic group in Scotland [S] : Mixed or multiple ethnic groups\ Any mixed or multiple ethnic groups - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British\ Pakistani; Pakistani Scottish or Pakistani British - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British\ Indian; Indian Scottish or Indian British - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British\ Bangladeshi; Bangladeshi Scottish or Bangladeshi British - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British\ Chinese; Chinese Scottish or Chinese British - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British\ Other Asian - Unit : Persons,Ethnic group in Scotland [S] : African - Unit : Persons,Ethnic group in Scotland [S] : African\ African; African Scottish or African British - Unit : Persons,Ethnic group in Scotland [S] : African\ Other African - Unit : Persons,Ethnic group in Scotland [S] : Caribbean or Black - Unit : Persons,Ethnic group in Scotland [S] : Caribbean or Black\ Caribbean; Caribbean Scottish or Caribbean British - Unit : Persons,Ethnic group in Scotland [S] : Caribbean or Black\ Black; Black Scottish or Black British - Unit : Persons,Ethnic group in Scotland [S] : Caribbean or Black\ Other Caribbean or Black - Unit : Persons,Ethnic group in Scotland [S] : Other ethnic group - Unit : Persons,Ethnic group in Scotland [S] : Other ethnic group\ Arab; Arab Scottish or Arab British - Unit : Persons,Ethnic group in Scotland [S] : Other ethnic group\ Other ethnic group - Unit : Persons
S01006506,Culter - 01,Lower Super Output Areas and Data Zones,LSOADZ,872,844,659,131,1,0,8,45,3,17,0,8,0,1,8,3,3,0,4,1,1,2,1,0,1
S01006507,Culter - 02,Lower Super Output Areas and Data Zones,LSOADZ,836,807,698,72,8,0,3,26,1,25,16,0,3,5,1,0,0,0,1,0,0,1,2,0,2
S01006508,Culter - 03,Lower Super Output Areas and Data Zones,LSOADZ,643,610,505,78,1,3,3,20,5,19,1,0,0,1,17,7,7,0,1,0,0,1,1,0,1
S01006509,Culter - 04,Lower Super Output Areas and Data Zones,LSOADZ,580,549,488,51,0,2,0,8,7,23,11,5,1,1,5,0,0,0,1,0,1,0,0,0,0
S01006510,Culter - 05,Lower Super Output Areas and Data Zones,LSOADZ,644,628,558,48,3,0,3,16,4,5,0,0,0,1,4,1,1,0,4,0,0,4,2,2,0
S01006511,Culter - 06,Lower Super Output Areas and Data Zones,LSOADZ,751,726,611,89,1,0,4,21,5,19,0,4,5,3,7,1,1,0,0,0,0,0,0,0,0
S01006512,Culter - 07,Lower Super Output Areas and Data Zones,LSOADZ,519,481,337,109,0,0,5,30,9,13,2,2,0,7,2,15,15,0,1,1,0,0,0,0,0
S01006513,"Cults; Bieldside and Milltimber West - 01",Lower Super Output Areas and Data Zones,LSOADZ,648,609,506,73,0,0,7,23,4,8,0,1,0,6,1,9,9,0,3,0,3,0,15,13,2
S01006514,"Cults; Bieldside and Milltimber West - 02",Lower Super Output Areas and Data Zones,LSOADZ,1043,979,679,146,12,0,8,134,9,38,0,15,1,3,19,9,9,0,1,0,0,1,7,6,1
S01006515,"Cults; Bieldside and Milltimber West - 03",Lower Super Output Areas and Data Zones,LSOADZ,762,714,532,125,14,2,2,39,4,23,4,11,6,2,0,10,10,0,4,3,0,1,7,0,7
S01006516,"Cults; Bieldside and Milltimber West - 04",Lower Super Output Areas and Data Zones,LSOADZ,540,502,326,92,9,0,0,75,7,19,4,8,0,3,4,3,3,0,1,1,0,0,8,7,1
