Date,PracticeCode,HB,HSCP,Sex,AllAges,Ages0to4,Ages5to14,Ages15to24,Ages25to44,Ages45to64,Ages65to74,Ages75to84,Ages85plus,Sex_Type,Total_Female,Total_Male
20231001,10002,S08000030,S37000007,Male,4085,186,463,419,952,1170,494,307,94,0,,
20231001,10002,S08000030,S37000007,Female,4216,170,407,430,975,1259,539,339,97,0,,
20231001,10002,S08000030,S37000007,All,8301,356,870,849,1927,2429,1033,646,191,1,4216,4085
20231001,10017,S08000030,S37000033,Male,3540,128,362,509,738,976,422,298,107,0,,
20231001,10017,S08000030,S37000033,Female,3506,113,345,430,735,940,442,336,165,0,,
20231001,10017,S08000030,S37000033,All,7046,241,707,939,1473,1916,864,634,272,1,3506,3540
20231001,10036,S08000030,S37000033,Male,2445,94,218,253,518,734,340,224,64,0,,
20231001,10036,S08000030,S37000033,Female,2429,58,215,196,492,758,343,258,109,0,,
20231001,10036,S08000030,S37000033,All,4874,152,433,449,1010,1492,683,482,173,1,2429,2445
20231001,10106,S08000030,S37000007,Male,3109,96,320,343,621,864,401,345,119,0,,
20231001,10106,S08000030,S37000007,Female,3344,76,290,305,655,901,462,432,223,0,,
20231001,10106,S08000030,S37000007,All,6453,172,610,648,1276,1765,863,777,342,1,3344,3109
20231001,10125,S08000030,S37000033,Male,2221,86,190,192,458,658,365,217,55,0,,
20231001,10125,S08000030,S37000033,Female,2334,61,191,175,484,699,379,253,92,0,,
20231001,10125,S08000030,S37000033,All,4555,147,381,367,942,1357,744,470,147,1,2334,2221
20231001,10182,S08000030,S37000003,Male,4886,208,463,578,1253,1362,545,377,100,0,,
20231001,10182,S08000030,S37000003,Female,5066,182,465,516,1204,1387,615,503,194,0,,
20231001,10182,S08000030,S37000003,All,9952,390,928,1094,2457,2749,1160,880,294,1,5066,4886
20231001,10233,S08000030,S37000003,Male,3421,145,389,376,899,965,359,224,64,0,,
20231001,10233,S08000030,S37000003,Female,3497,149,386,389,915,916,376,264,102,0,,
20231001,10233,S08000030,S37000003,All,6918,294,775,765,1814,1881,735,488,166,1,3497,3421
20231001,10286,S08000030,S37000003,Male,2404,121,293,267,633,634,281,137,38,0,,
20231001,10286,S08000030,S37000003,Female,2464,103,257,290,597,676,269,199,73,0,,
20231001,10286,S08000030,S37000003,All,4868,224,550,557,1230,1310,550,336,111,1,2464,2404
20231001,10322,S08000030,S37000003,Male,4265,181,480,447,1183,1103,470,315,86,0,,
20231001,10322,S08000030,S37000003,Female,4329,175,465,425,1133,1160,499,339,133,0,,
20231001,10322,S08000030,S37000003,All,8594,356,945,872,2316,2263,969,654,219,1,4329,4265
20231001,10361,S08000030,S37000033,Male,5434,219,597,582,1252,1514,676,438,156,0,,
20231001,10361,S08000030,S37000033,Female,5426,197,512,536,1171,1654,686,470,200,0,,
20231001,10361,S08000030,S37000033,All,10860,416,1109,1118,2423,3168,1362,908,356,1,5426,5434
20231001,10407,S08000030,S37000033,Male,3834,135,389,360,833,992,563,427,135,0,,
20231001,10407,S08000030,S37000033,Female,4069,145,373,300,830,1074,615,511,221,0,,
20231001,10407,S08000030,S37000033,All,7903,280,762,660,1663,2066,1178,938,356,1,4069,3834
20231001,10445,S08000030,S37000033,Male,1934,72,215,160,502,507,278,147,53,0,,
20231001,10445,S08000030,S37000033,Female,1936,79,199,137,494,496,274,159,98,0,,
20231001,10445,S08000030,S37000033,All,3870,151,414,297,996,1003,552,306,151,1,1936,1934
20231001,10498,S08000030,S37000003,Male,4378,175,447,479,1088,1249,542,292,106,0,,
20231001,10498,S08000030,S37000003,Female,4363,167,475,426,1035,1199,508,369,184,0,,
20231001,10498,S08000030,S37000003,All,8741,342,922,905,2123,2448,1050,661,290,1,4363,4378
20231001,10638,S08000030,S37000003,Male,6369,202,662,707,1421,1755,858,603,161,0,,
20231001,10638,S08000030,S37000003,Female,6759,231,676,627,1484,1883,924,703,231,0,,
20231001,10638,S08000030,S37000003,All,13128,433,1338,1334,2905,3638,1782,1306,392,1,6759,6369
20231001,10708,S08000030,S37000033,Male,1298,30,124,117,223,372,222,143,67,0,,
20231001,10708,S08000030,S37000033,Female,1399,37,114,103,209,410,220,195,111,0,,
20231001,10708,S08000030,S37000033,All,2697,67,238,220,432,782,442,338,178,1,1399,1298
20231001,10746,S08000030,S37000033,Male,3043,116,283,299,710,872,427,250,86,0,,
20231001,10746,S08000030,S37000033,Female,3039,115,292,286,693,868,413,273,99,0,,
20231001,10746,S08000030,S37000033,All,6082,231,575,585,1403,1740,840,523,185,1,3039,3043
20231001,10835,S08000030,S37000033,Male,2034,65,230,207,507,557,232,184,52,0,,
20231001,10835,S08000030,S37000033,Female,2138,83,225,195,465,611,262,199,98,0,,
20231001,10835,S08000030,S37000033,All,4172,148,455,402,972,1168,494,383,150,1,2138,2034
20231001,11005,S08000030,S37000007,Male,2504,86,278,255,777,687,253,131,37,0,,
20231001,11005,S08000030,S37000007,Female,2283,76,275,235,697,580,230,128,62,0,,
20231001,11005,S08000030,S37000007,All,4787,162,553,490,1474,1267,483,259,99,1,2283,2504
20231001,11058,S08000030,S37000007,Male,4778,102,275,1022,1987,840,316,190,46,0,,
20231001,11058,S08000030,S37000007,Female,4916,88,237,1416,1851,725,306,223,70,0,,
20231001,11058,S08000030,S37000007,All,9694,190,512,2438,3838,1565,622,413,116,1,4916,4778
20231001,11096,S08000030,S37000007,Male,2559,121,292,253,731,692,294,126,50,0,,
20231001,11096,S08000030,S37000007,Female,2550,104,280,289,747,612,262,166,90,0,,
20231001,11096,S08000030,S37000007,All,5109,225,572,542,1478,1304,556,292,140,1,2550,2559
20231001,11128,S08000030,S37000007,Male,4601,209,543,555,1327,1239,395,266,67,0,,
20231001,11128,S08000030,S37000007,Female,4748,209,504,486,1338,1254,483,332,142,0,,
20231001,11128,S08000030,S37000007,All,9349,418,1047,1041,2665,2493,878,598,209,1,4748,4601
20231001,11166,S08000030,S37000007,Male,4588,219,468,470,1428,1231,468,245,59,0,,
20231001,11166,S08000030,S37000007,Female,4637,229,478,491,1359,1143,502,315,120,0,,
20231001,11166,S08000030,S37000007,All,9225,448,946,961,2787,2374,970,560,179,1,4637,4588
20231001,11171,S08000030,S37000007,Male,6217,293,684,672,1934,1542,597,372,123,0,,
20231001,11171,S08000030,S37000007,Female,6593,289,666,677,1930,1665,649,474,243,0,,
20231001,11171,S08000030,S37000007,All,12810,582,1350,1349,3864,3207,1246,846,366,1,6593,6217
20231001,11221,S08000030,S37000007,Male,2572,244,458,269,880,485,136,83,17,0,,
20231001,11221,S08000030,S37000007,Female,2782,236,402,335,1038,478,154,90,49,0,,
20231001,11221,S08000030,S37000007,All,5354,480,860,604,1918,963,290,173,66,1,2782,2572
20231001,11289,S08000030,S37000007,Male,4659,214,450,551,1602,1152,415,209,66,0,,
20231001,11289,S08000030,S37000007,Female,4581,216,419,581,1468,1041,464,276,116,0,,
20231001,11289,S08000030,S37000007,All,9240,430,869,1132,3070,2193,879,485,182,1,4581,4659
20231001,11306,S08000030,S37000007,Male,4354,143,449,493,965,1266,521,402,115,0,,
20231001,11306,S08000030,S37000007,Female,4823,138,448,472,937,1375,621,536,296,0,,
20231001,11306,S08000030,S37000007,All,9177,281,897,965,1902,2641,1142,938,411,1,4823,4354
20231001,11363,S08000030,S37000007,Male,5694,199,397,1057,2328,1059,395,193,66,0,,
20231001,11363,S08000030,S37000007,Female,5790,155,365,1606,1991,924,374,255,120,0,,
20231001,11363,S08000030,S37000007,All,11484,354,762,2663,4319,1983,769,448,186,1,5790,5694
20231001,11382,S08000030,S37000007,Male,4465,209,519,541,1406,1129,392,216,53,0,,
20231001,11382,S08000030,S37000007,Female,4277,167,481,509,1219,1130,417,251,103,0,,
20231001,11382,S08000030,S37000007,All,8742,376,1000,1050,2625,2259,809,467,156,1,4277,4465
20231001,11486,S08000030,S37000007,Male,4001,182,479,488,1300,965,375,171,41,0,,
20231001,11486,S08000030,S37000007,Female,4021,202,466,468,1246,980,369,197,93,0,,
20231001,11486,S08000030,S37000007,All,8022,384,945,956,2546,1945,744,368,134,1,4021,4001
20231001,11645,S08000030,S37000007,Male,4328,218,579,576,1290,1034,381,192,58,0,,
20231001,11645,S08000030,S37000007,Female,4337,170,502,525,1251,1148,426,227,88,0,,
20231001,11645,S08000030,S37000007,All,8665,388,1081,1101,2541,2182,807,419,146,1,4337,4328
20231001,11650,S08000030,S37000007,Male,3102,142,317,324,949,801,342,175,52,0,,
20231001,11650,S08000030,S37000007,Female,3189,135,332,376,946,783,322,209,86,0,,
20231001,11650,S08000030,S37000007,All,6291,277,649,700,1895,1584,664,384,138,1,3189,3102
20231001,11823,S08000030,S37000007,Male,4297,216,567,517,1219,1079,411,223,65,0,,
20231001,11823,S08000030,S37000007,Female,4378,213,551,470,1218,1095,437,283,111,0,,
