Date,PracticeCode,HB,HSCP,Sex,AllAges,Ages0to4,Ages5to14,Ages15to24,Ages25to44,Ages45to64,Ages65to74,Ages75to84,Ages85plus,Sex_Type,Total_Female,Total_Male
20220401,10002,S08000030,S37000003,Male,4007,180,465,407,945,1154,471,288,97,,,
20220401,10002,S08000030,S37000003,Female,4095,193,409,397,952,1225,503,319,97,,,
20220401,10002,S08000030,S37000003,All,8102,373,874,804,1897,2379,974,607,194,1,4095,4007
20220401,10017,S08000030,S37000033,Male,3351,121,366,442,681,952,414,267,108,,,
20220401,10017,S08000030,S37000033,Female,3269,107,313,359,660,926,430,317,157,,,
20220401,10017,S08000030,S37000033,All,6620,228,679,801,1341,1878,844,584,265,1,3269,3351
20220401,10036,S08000030,S37000033,Male,2402,88,215,240,502,733,355,203,66,,,
20220401,10036,S08000030,S37000033,Female,2356,64,199,201,468,736,351,243,94,,,
20220401,10036,S08000030,S37000033,All,4758,152,414,441,970,1469,706,446,160,1,2356,2402
20220401,10106,S08000030,S37000007,Male,2896,90,321,306,538,826,398,309,108,,,
20220401,10106,S08000030,S37000007,Female,3179,78,302,261,599,889,452,380,218,,,
20220401,10106,S08000030,S37000007,All,6075,168,623,567,1137,1715,850,689,326,1,3179,2896
20220401,10125,S08000030,S37000033,Male,2146,82,208,174,437,647,335,209,54,,,
20220401,10125,S08000030,S37000033,Female,2239,66,194,168,449,690,347,243,82,,,
20220401,10125,S08000030,S37000033,All,4385,148,402,342,886,1337,682,452,136,1,2239,2146
20220401,10182,S08000030,S37000003,Male,4502,214,454,536,1142,1259,499,318,80,,,
20220401,10182,S08000030,S37000003,Female,4686,187,445,476,1119,1286,582,429,162,,,
20220401,10182,S08000030,S37000003,All,9188,401,899,1012,2261,2545,1081,747,242,1,4686,4502
20220401,10233,S08000030,S37000003,Male,3078,147,360,316,799,881,328,200,47,,,
20220401,10233,S08000030,S37000003,Female,3165,140,352,331,834,830,336,242,100,,,
20220401,10233,S08000030,S37000003,All,6243,287,712,647,1633,1711,664,442,147,1,3165,3078
20220401,10286,S08000030,S37000003,Male,2231,123,269,248,596,585,262,116,32,,,
20220401,10286,S08000030,S37000003,Female,2275,93,261,261,562,618,228,184,68,,,
20220401,10286,S08000030,S37000003,All,4506,216,530,509,1158,1203,490,300,100,1,2275,2231
20220401,10322,S08000030,S37000003,Male,3939,181,467,417,1088,1004,452,259,71,,,
20220401,10322,S08000030,S37000003,Female,4021,164,435,407,1069,1058,458,300,130,,,
20220401,10322,S08000030,S37000003,All,7960,345,902,824,2157,2062,910,559,201,1,4021,3939
20220401,10361,S08000030,S37000033,Male,5335,225,591,569,1231,1507,652,412,148,,,
20220401,10361,S08000030,S37000033,Female,5373,210,524,533,1146,1657,643,459,201,,,
20220401,10361,S08000030,S37000033,All,10708,435,1115,1102,2377,3164,1295,871,349,1,5373,5335
20220401,10407,S08000030,S37000033,Male,3829,153,368,370,796,1021,582,398,141,,,
20220401,10407,S08000030,S37000033,Female,3998,128,381,280,791,1089,645,476,208,,,
20220401,10407,S08000030,S37000033,All,7827,281,749,650,1587,2110,1227,874,349,1,3998,3829
20220401,10445,S08000030,S37000033,Male,1880,72,206,151,493,505,266,138,49,,,
20220401,10445,S08000030,S37000033,Female,1864,92,178,143,473,505,232,153,88,,,
20220401,10445,S08000030,S37000033,All,3744,164,384,294,966,1010,498,291,137,1,1864,1880
20220401,10498,S08000030,S37000003,Male,4205,183,463,441,1038,1212,504,261,103,,,
20220401,10498,S08000030,S37000003,Female,4204,167,455,396,978,1201,483,355,169,,,
20220401,10498,S08000030,S37000003,All,8409,350,918,837,2016,2413,987,616,272,1,4204,4205
20220401,10638,S08000030,S37000003,Male,6357,227,682,708,1409,1749,894,532,156,,,
20220401,10638,S08000030,S37000003,Female,6746,210,734,618,1459,1920,959,617,229,,,
20220401,10638,S08000030,S37000003,All,13103,437,1416,1326,2868,3669,1853,1149,385,1,6746,6357
20220401,10708,S08000030,S37000033,Male,1305,35,125,125,207,390,223,132,68,,,
20220401,10708,S08000030,S37000033,Female,1393,30,122,104,200,418,239,182,98,,,
