_id,PracticeCode,GPPracticeName,PracticeListSize,AddressLine1,AddressLine2,AddressLine3,AddressLine4,Postcode,TelephoneNumber,PracticeType,Dispensing,HB,HSCP,DataZone,GPCluster
1,10002,Muirhead Medical Centre,8102,Muirhead Medical Centre,Liff Road,Muirhead,"",DD2 5NH,01382   580   264,17J,N,S08000030,S37000003,S01007129,Dundee 4
2,10017,The Blue Practice,6620,The Blue Practice,Crieff Medical Centre,King Street,Crieff,PH7 3SA,01764   652   283,17J,N,S08000030,S37000033,S01011870,Strathearn Cluster
3,10036,Aberfeldy And Kinloch Rannoch Medical Practice,4758,Aberfeldy And Kinloch Rannoch Medical Practice,Taybridge Road,Aberfeldy,Perthshire,PH15 2BL,01887   820   366,17J,Y,S08000030,S37000033,S01012014,North West Perthshire
4,10106,Grove Health Centre,6075,Grove Health Centre,129 Dundee Road,Broughty Ferry,Dundee,DD5 1DU,01382   778   881,17J,N,S08000030,S37000007,S01007758,Dundee 2
5,10125,Alyth Health Centre,4385,Alyth Health Centre,New Alyth Road,Alyth,"",PH11 8EQ,01828   632   317,17J,N,S08000030,S37000033,S01011975,Strathmore Cluster
6,10182,Arbroath Medical Centre,9188,Arbroath Medical Centre,7 Hill Place,Arbroath,"",DD11 1AD,01241   431   144,17J,N,S08000030,S37000003,S01007187,Angus South East
7,10233,The Abbey Practice,6243,Abbey Health Centre,East Abbey Street,Arbroath,"",DD11 1EN,01241   872   692,2C,N,S08000030,S37000003,S01007187,Angus South East
8,10286,"East Practice, Springfield Medical Centre",4506,"East Practice, Springfield Medical Centre",30 Ponderlaw Street,Arbroath,"",DD11 1ES,01241   870   311,17J,N,S08000030,S37000003,S01007189,Angus South East
9,10322,"West Practice, Springfield Medical Centre",7960,"West Practice, Springfield Medical Centre",30 Ponderlaw Street,Arbroath,"",DD11 1ES,01241   870   307,17J,N,S08000030,S37000003,S01007189,Angus South East
10,10361,St Margaret's Health Centre,10708,St Margaret's Health Centre,St Margarets Drive,Auchterarder,"",PH3 1JH,01764   662   614,17J,N,S08000030,S37000033,S01011854,Strathearn Cluster
11,10407,Ardblair Medical Practice,7827,Ardblair Medical Practice,Ann Street,Blairgowrie,Perthshire,PH10 6EF,01250   872   033,17J,N,S08000030,S37000033,S01011991,Strathmore Cluster
12,10445,Strathmore Surgery,3744,Strathmore Surgery,Jessie Street,Blairgowrie,Perthshire,PH10 6BT,01250   872   552,17J,N,S08000030,S37000033,S01011993,Strathmore Cluster
13,10498,Brechin Medical Practice,8409,Brechin Medical Practice,Brechin Health Centre,Infirmary Street,Brechin,DD9 7AN,01356   624   411,2C,N,S08000030,S37000003,S01007234,North East/Angus
14,10638,Carnoustie Medical Group,13103,Carnoustie Medical Group,Parkview Primary Care Centre,Barry Road,Carnoustie,DD7 7RB,01241   859   888,17J,N,S08000030,S37000003,S01007160,Angus South West
15,10708,Comrie Medical Centre,2698,Comrie Medical Centre,Strowan Road,Comrie,Perthshire,PH6 2LW,01764   670   217,17J,N,S08000030,S37000033,S01011859,Strathearn Cluster
16,10746,Coupar Angus Medical Centre,5973,Coupar Angus Medical Centre,Candlehouse Lane,Coupar Angus,Perthshire,PH13 9DD,"",17J,N,S08000030,S37000033,S01011969,Strathmore Cluster
17,10835,The Red Practice,4183,The Red Practice,Crieff Medical Centre,King Street,Crieff,PH7 3SA,01764   652   456,17J,N,S08000030,S37000033,S01011870,Strathearn Cluster
18,11005,Park Avenue Medical Centre,4676,Park Avenue Medical Centre,Park Avenue,Dundee,"",DD4 6PP,01382   462   222,17J,N,S08000030,S37000007,S01007729,Dundee 1
19,11058,Tay Court Surgery,8526,Tay Court Surgery,50 South Tay Street,Dundee,"",DD1 1PF,01382   228   228,17J,N,S08000030,S37000007,S01007691,Dundee 4
20,11096,Ancrum One,4772,Ancrum One,Ancrum Medical Centre,12 Ancrum Road,Dundee,DD2 2HZ,01382   669   500,17J,N,S08000030,S37000007,S01007835,Dundee 3
21,11128,Taybank Medical Centre,9404,Taybank Medical Centre,10 Robertson Street,Dundee,"",DD4 6EL,01382   461   588,17J,N,S08000030,S37000007,S01007732,Dundee 2
22,11166,Coldside Medical Practice,8931,Coldside Medical Practice,129 Strathmartine Road,Dundee,"",DD3 8DB,01382   880   900,17J,N,S08000030,S37000007,S01007718,Dundee 3
23,11171,Westgate Medical Practice,10944,Westgate Medical Practice,Westgate Health Centre,Charleston Drive,Dundee,DD2 4AD,01382   668   189,17J,N,S08000030,S37000007,S01007844,Dundee 4
24,11289,Princes Street Surgery,8763,Princes Street Surgery,155 Princes Street,Dundee,"",DD4 6DG,01382   461   090,17J,N,S08000030,S37000007,S01007709,Dundee 2
25,11306,Broughty Family Healthcare,9231,Broughty Family Healthcare,103 Brown Street,Broughty Ferry,Dundee,DD5 1EP,01382   731   331,17J,N,S08000030,S37000007,S01007759,Dundee 2
26,11363,Hawkhill Medical Centre,11662,Hawkhill Medical Centre,Hawkhill,Dundee,"",DD1 5LA,01382   669   589,17J,N,S08000030,S37000007,S01007693,Dundee 4
27,11382,Family Medical Group,9482,Family Medical Group,Wallacetown Health Centre,Lyon Street,Dundee,DD4 6RB,01382   459   519,17J,N,S08000030,S37000007,S01007727,Dundee 1
28,11414,Ryehill Medical Practice,5213,Ryehill Medical Practice,St Peter Street,Dundee,"",DD1 4JH,01382   644   466,17J,N,S08000030,S37000007,S01007691,Dundee 4
29,11486,Erskine Practice,7689,Erskine Practice,Arthurstone Medical Centre,39 Arthurstone Terrace,Dundee,DD4 6QY,01382   458   333,17J,N,S08000030,S37000007,S01007728,Dundee 1
30,11645,Mill Practice,8535,Mill Practice,Arthurstone Medical Practice,39 Arthurstone Terrace,Dundee,DD4 6QY,01382   456   700,17J,N,S08000030,S37000007,S01007728,Dundee 1
31,11650,Terra Nova Medical Practice LLP,6095,Terra Nova Medical Practice LLP,Terra Nova House,43 Dura Street,Dundee,DD4 6SW,01382   451   100,17J,N,S08000030,S37000007,S01007728,Dundee 1
32,11823,Downfield Surgery,8502,Downfield Surgery,325 Strathmartine Road,Dundee,"",DD3 8NE,01382   812   111,17J,N,S08000030,S37000007,S01007823,Dundee 3
33,11861,Hillbank Health Centre,7934,Hillbank Health Centre,1a Constitution Street,Dundee,"",DD3 6NF,01382   221   976,17J,N,S08000030,S37000007,S01007716,Dundee 3
34,11931,Maryfield Medical Centre,6135,Maryfield Medical Centre,28 Mains Loan,Dundee,"",DD4 7AA,01382   462   292,2C,N,S08000030,S37000007,S01007733,Dundee 1
35,12210,Ancrum Medical Centre,3613,Ancrum Medical Centre,12 Ancrum Road,Dundee,"",DD2 2HZ,01382   669   316,17J,N,S08000030,S37000007,S01007835,Dundee 3
36,12281,Nethergate Medical Centre,7567,Nethergate Medical Centre,2 Tay Square,Dundee,"",DD1 1PB,01382   221   527,17J,N,S08000030,S37000007,S01007691,Dundee 4
37,12831,Lochee Health Centre,3965,Lochee Health Centre,1 Marshall Street,Dundee,"",DD2 3BR,01382   611   283,2C,N,S08000030,S37000007,S01007853,Dundee 3
38,12901,Whitfield Surgery,4204,Whitfield Surgery,The Crescent,71 Lothian Crescent,Dundee,DD4 0HJ,"",2C,N,S08000030,S37000007,S01007785,Dundee 1
39,13049,Craigvinean Surgery,4091,Craigvinean Surgery,Little Dunkeld,Dunkeld,"",PH8 0AD,01350   727   269,17J,N,S08000030,S37000033,S01012008,North West Perthshire
40,13091,Edzell Health Centre,2691,Edzell Health Centre,High Street,Edzell,"",DD9 7TA,01356   648   209,17C,N,S08000030,S37000003,S01007283,North East/Angus
41,13142,The Carse Medical Practice,3282,The Carse Medical Practice,Westleys,ERROL,Perth & Kinross,PH2 7TD,01821   642   248,17J,N,S08000030,S37000033,S01011962,Kinross/Errol/Bridge of Earn
42,13195,Ravenswood Surgery,3935,Ravenswood Surgery,New Road,Forfar,"",DD8 2AE,01307   463   558,17J,N,S08000030,S37000003,S01007259,North West Angus
43,13231,Academy Medical Centre,9206,Academy Medical Centre,Academy Street,Forfar,"",DD8 2HA,01307   462   316,17J,N,S08000030,S37000003,S01007256,North West Angus
44,13284,Lour Road Group Practice,6815,Lour Road Group Practice,3 Lour Road,Forfar,"",DD8 2AS,01307   463   122,17J,N,S08000030,S37000003,S01007258,North West Angus
45,13335,Friockheim Health Centre,3477,Friockheim Health Centre,Westgate,Friockheim,"",DD11 4TX,01241   828   444,17J,N,S08000030,S37000003,S01007227,Angus South East
46,13369,Invergowrie Medical Practice,1881,Invergowrie Medical Practice,30 Errol Road,Invergowrie,"",DD2 5AD,01382   562   271,17C,N,S08000030,S37000033,S01011968,Dundee 3
