gp_number,q1_positive,q2_positive,q3_positive
87625,73.31,97.44,66.58
46555,78.51,93.93,68.19
10036,87.11,95.03,90.83
25968,81.81,92.53,77.78
33004,25.34,53.32,31.29
40070,73.95,70.04,76.21
32290,83.36,81.07,74.55
61377,50.79,78.83,51.52
13231,40.46,87.4,45.73
55662,84.28,94.22,88.65
61061,45.42,72.76,46.95
55696,77.63,89.14,70.75
21524,52.82,79.22,58.16
30909,79.29,81.48,70.98
85032,74.27,89.74,75.06
31808,62.26,91.11,61.08
25686,70.3,96.26,68.74
43294,61.72,64.15,55.69
78359,63.45,80.05,61.72
55338,35.89,85.15,47.16
25046,57.34,86.26,57.77
10125,89.13,98.63,87.13
31456,32.97,83.96,43.54
87471,68.01,85.79,65.64
12210,72.57,91.09,67.71
11096,81.22,94.41,82.71
70499,82.67,86.83,78.06
13706,81.66,79.12,78.08
46127,91.93,98.02,88.9
40051,81.87,83.81,79.17
20004,66.34,90.94,61.14
25192,64.24,59.13,49.48
55342,94.63,100,98.19
10182,51.43,83.02,47.4
32586,52.39,77.23,56.98
10407,51.55,83.93,63.94
86177,54.45,86.34,53.7
60209,81.08,82.09,82.28
25277,90.67,100,90.95
78241,49.09,89.5,52.72
55183,92.63,93.29,94.55
80927,84.83,79.99,78.85
40173,83.85,95.03,77.26
78330,75.24,87.79,70.27
40718,70.19,69.59,67.8
55253,96.76,100,97.52
14501,69.25,86.52,62.04
43097,72.17,90.92,79.16
61466,67.92,72.66,61.48
32500,79.8,83.06,70.13
43222,55.24,68.41,48.53
80772,56.27,59.34,53.81
63334,75.52,88.87,75.4
20057,47.98,89.69,41.45
55357,87.65,87.46,90.9
55911,77.29,77.99,75.22
63739,73.18,90.69,59.27
81012,28.61,88.74,35.18
49318,95.63,92.87,94.65
25051,91.24,95.28,88.97
56025,66.56,87.46,65.22
80132,96.89,100,95.09
32317,90.21,96.36,89.93
80749,28.1,66.53,28.98
43256,92.06,90.47,89.62
32406,65.02,89.73,70.14
20413,79.05,90.58,73.64
80842,78.46,85.92,80.28
61151,45.1,92.47,50.44
78414,60.68,91.69,56.3
78397,36.37,79.25,40.64
71434,58.62,90.83,60.63
40578,79.8,96.31,75.96
87733,40.55,67.3,48.98
80081,95.17,93.27,93.54
70658,63.61,93.5,72.18
90149,74.87,94.19,76.74
80147,57.27,83.36,55.3
20490,79.46,85.95,70.92
21421,66.2,93.19,69.94
90120,93.24,92.22,92.61
20979,65.82,88.38,68.92
62312,69.58,93.92,62.87
87112,43.4,62.07,37.17
39068,96.4,99.07,94.66
21825,71.44,75.54,69.25
70535,72.44,83,70.36
62628,80.51,79.96,77.22
40262,54.62,89.89,58.29
25332,41.42,71.8,38.22
25205,45.87,66.98,45.55
71379,72.99,80.36,73.78
63118,56.74,82.27,42.96
80306,72.09,96.73,75.68
84331,80.21,94.49,78.33
39049,78.89,96.5,79.55
70893,54.66,91.29,52.75
87697,74.55,91.4,60.7
32321,100,100,98.66
16230,88.86,88.19,83.05
25455,63.27,77.84,60.88
52043,60.5,87.47,57.7
70075,91.85,89.88,85.91
62967,46.96,73.05,45.44
10498,30.17,93.61,39.78
25101,75.45,94.65,70.96
87235,65.56,67.11,66.78
90172,81.74,96.91,75.07
49464,78.78,92.77,78.99
11306,64.58,91.23,57.53
62031,12.98,66.44,18.14
70268,49.92,77.72,55.71
70323,84.59,94.73,74.94
40012,65.82,73.34,51.66
30256,56.85,86.94,63.47
63419,48.53,78.23,54.64
62986,27.37,44,24.87
55889,90.8,89.29,92.22
20151,65.75,82.95,63.88
49267,49.2,79.36,55.03
32092,60.23,97.89,63.44
56006,75.19,72.13,73.36
18343,79.57,96.87,85.22
18151,79.5,88.28,78.57
63902,71.54,92.87,58.09
63298,48.46,91.89,56.74
63508,70.61,85.72,65.87
63033,58,81.96,50.92
61339,41,87.65,42.76
25121,64.65,53.18,62.31
30701,62.72,91.88,60.79
46611,54.71,87.99,57.57
25313,75.78,83.25,81.59
84030,84.34,93.45,85.66
55080,89.79,92.56,86.44
18432,88.62,93.92,83.33
55521,96.88,96.65,97.71
78010,82.04,94.14,78.8
10638,57.57,95.16,64.54
46146,63.61,92.5,66.03
49623,81.94,84.54,79.57
80467,75.28,86.44,69.71
25652,64.27,89.91,68.45
25188,75.97,82.23,73.75
18184,73.75,77.86,70.94
13660,72.85,85.78,72.38
49751,37.95,83.95,49.43
61216,74.26,70.61,71.96
80010,64.91,80.86,63.24
31531,53.69,79.71,45.52
21308,77.04,82.03,73.59
18305,74.55,89.06,76.31
61485,65.82,81.69,59.61
84241,67.55,92.36,73.8
55732,66.92,72.11,65.13
25135,57.2,78.27,52.99
62690,94.01,84.72,89.44
62671,64.31,93.26,63.73
87700,61.92,91.8,67.34
21736,80.07,89.16,79.86
61451,54.43,84.6,56.78
86374,45.85,88.13,43.49
11166,66.2,90.74,62.92
16206,75.74,83.9,77.34
70131,85.69,94.68,82.32
10708,90.85,92.62,87.94
61324,43.98,70.86,43.81
20659,60.62,80.24,59.11
10746,87.23,85.59,80.62
84256,50.99,90.89,58.83
20305,38.52,80.95,38.48
55605,90.5,83.31,87.47
70610,76.09,97.84,74.09
70215,70.75,82.14,78.07
13049,93.33,92.99,92.18
46131,54.6,86.74,66.85
71129,55.66,81.98,50.04
55291,95.85,99.34,95.38
70573,57.99,90.65,63.95
31601,84.69,88.28,80.04
49106,83.72,96.03,77.26
56538,90.02,93.82,89.9
76180,80.74,96.8,81.4
52344,85.7,99.39,89.14
20358,47.33,84.78,46.56
80166,56.59,89.14,60.41
55893,70.3,85.11,71.71
55709,85.75,92.07,78.74
31615,38.06,75.27,39.24
32815,57.69,64.41,57.6
55766,73.26,75.47,61.79
55751,80.49,91.5,79.04
31230,78.75,82.48,76.65
80679,76.94,72.94,73.52
80185,83,99.2,83.82
38051,94.23,97.09,94.5
18240,77.59,87.09,73.82
80077,85.13,79.97,71.39
77055,62.12,91.68,57.67
77197,53.05,84.66,52.52
70470,82.4,79.18,78.97
46574,59.87,56.1,62.07
80202,75.95,89.95,78.59
80217,70.41,94.37,79.78
77200,41.91,66.39,45.69
31259,72.08,93.09,71.55
70709,84.96,86.7,85.84
78260,70.71,90.87,67.98
25173,65.07,92.31,67.19
55376,75.75,84.41,71.7
25210,85.64,93.57,87.9
55201,93.87,91.87,94.06
63457,40.55,64.52,42.88
62510,85.91,88.79,86.04
38210,82.75,84.63,84.58
25224,87.22,80.88,87.4
11823,64.36,96.23,62.78
40460,88.33,96.72,91.94
70639,91.89,99.07,81.96
84773,82.4,94.9,86.62
40351,93.44,100,90.1
62717,77.83,95.17,64.5
43063,75.71,92.51,68.85
52260,82.23,95.02,76.42
46023,76.93,93.27,74.08
43082,57.18,90.79,66.69
49074,78.03,84.27,80.99
84097,89.7,95.55,70.52
52039,80.01,93.65,87.6
61343,43.45,78.46,48.02
87343,60.9,91.3,73.26
40691,57.24,73.99,50.05
46240,88.68,98.79,90.07
85009,96.89,98.58,95.22
43100,59.86,92.75,53.52
61381,77.55,89.11,74.1
52128,55.77,85.97,53.63
60181,90.99,94.67,92.06
49178,76.59,81.53,72.83
62596,53.45,90.19,52.66
62897,26.45,52.27,35
43307,45.69,71.1,40.31
40281,94.52,96.47,91.44
43504,73.61,82.6,67.82
43468,91.6,99.36,91.86
86228,70.79,97.02,70.09
40188,84.77,79.09,79.08
63481,71.34,90.31,63.98
52359,59.88,82.21,57.37
46201,83.95,91.25,82.6
85071,70.39,89.42,62.13
21440,67.67,76.9,54.43
80787,49.74,86.34,47.55
49375,78.3,80.15,69.7
84006,68.77,97.94,73.88
40722,67.3,92.99,66.24
46151,68.44,87.74,71.26
63423,58.22,83.23,55.24
46396,66.79,77.09,65.63
40390,84.87,86.95,80.74
46447,58.47,78.27,63.23
43542,60.61,77.88,58.5
49712,66.37,61.75,59.89
52010,69.21,81.91,66.29
52241,75.06,90.59,79.32
84063,91.66,98.26,95.39
80289,65.73,92.33,70.96
52217,75.86,92,87.65
85155,78.09,94.4,75.08
63052,65.81,80.62,57.39
18413,80.45,94.59,77.81
61170,74.43,63.6,67.14
60162,42.93,59.87,43.82
84449,75.91,100,64.4
43557,53.17,71.55,52.01
60158,98.93,100,93.99
52147,47.02,40.66,53.58
40703,61.58,90.88,62.9
80561,54.99,79.45,46.25
43453,80.58,95.45,80.19
87409,57.63,95.01,57.42
84684,93.87,92.37,92.2
46165,45.66,78.26,48.34
80397,70.42,93.52,67.76
85090,72.21,83.92,67.78
70272,82.99,82.72,76.01
84716,88.92,93.18,90.28
40559,70.36,86.83,74.13
43218,73.26,93.37,72.18
46521,83.33,90.44,85.73
43129,78.02,77.31,66.12
49159,71.96,74.06,69.29
52109,72.27,78.28,77.79
63476,71.65,84.76,70.13
46428,76.01,88.81,78.06
52202,62.63,75.31,59.24
46235,42.21,76.19,37.6
52414,62.01,82.05,65.26
46381,79.17,85.22,83.03
