gp_number,q1_positive,q2_positive,q4_positive
87625,73.31,97.44,91.45
46555,78.51,93.93,87.44
10036,87.11,95.03,98.06
25968,81.81,92.53,94.82
33004,25.34,53.32,67.33
40070,73.95,70.04,88.54
32290,83.36,81.07,93.79
61377,50.79,78.83,79.67
13231,40.46,87.4,72.1
55662,84.28,94.22,98.71
61061,45.42,72.76,78.26
55696,77.63,89.14,89.14
21524,52.82,79.22,80.15
30909,79.29,81.48,89.64
85032,74.27,89.74,94
31808,62.26,91.11,87.7
25686,70.3,96.26,86.58
43294,61.72,64.15,77.68
78359,63.45,80.05,78.59
55338,35.89,85.15,63.32
25046,57.34,86.26,87.43
10125,89.13,98.63,97.88
31456,32.97,83.96,70.88
87471,68.01,85.79,87.79
12210,72.57,91.09,87.09
11096,81.22,94.41,93.34
70499,82.67,86.83,96.62
13706,81.66,79.12,92.67
46127,91.93,98.02,87.51
40051,81.87,83.81,92.46
20004,66.34,90.94,85.68
25192,64.24,59.13,88.44
55342,94.63,100,94.11
10182,51.43,83.02,83.85
32586,52.39,77.23,70.41
10407,51.55,83.93,87.29
86177,54.45,86.34,80.49
60209,81.08,82.09,92.28
25277,90.67,100,90.75
78241,49.09,89.5,78.35
55183,92.63,93.29,94.2
80927,84.83,79.99,91.67
40173,83.85,95.03,96.95
78330,75.24,87.79,90.13
40718,70.19,69.59,88.84
55253,96.76,100,99.29
14501,69.25,86.52,93.67
43097,72.17,90.92,85.72
61466,67.92,72.66,83.96
32500,79.8,83.06,89.4
43222,55.24,68.41,84.16
80772,56.27,59.34,82.39
63334,75.52,88.87,88.33
20057,47.98,89.69,83.2
55357,87.65,87.46,89.04
55911,77.29,77.99,89.28
63739,73.18,90.69,91.18
81012,28.61,88.74,74.85
49318,95.63,92.87,96.65
25051,91.24,95.28,95.47
56025,66.56,87.46,90.23
80132,96.89,100,95.9
32317,90.21,96.36,88.87
80749,28.1,66.53,70.4
43256,92.06,90.47,97.28
32406,65.02,89.73,93.48
20413,79.05,90.58,93.27
80842,78.46,85.92,88.32
61151,45.1,92.47,77.66
78414,60.68,91.69,75.78
78397,36.37,79.25,73.18
71434,58.62,90.83,85.47
40578,79.8,96.31,86.89
87733,40.55,67.3,70.86
80081,95.17,93.27,96.04
70658,63.61,93.5,89.4
90149,74.87,94.19,92.75
80147,57.27,83.36,85.29
20490,79.46,85.95,93.49
21421,66.2,93.19,82.86
90120,93.24,92.22,96.4
20979,65.82,88.38,90.59
62312,69.58,93.92,88.64
87112,43.4,62.07,84.58
39068,96.4,99.07,97.36
21825,71.44,75.54,85.99
70535,72.44,83,92.89
62628,80.51,79.96,88.29
40262,54.62,89.89,73.97
25332,41.42,71.8,62.87
25205,45.87,66.98,78.89
71379,72.99,80.36,79.62
63118,56.74,82.27,90.62
80306,72.09,96.73,89.15
84331,80.21,94.49,89.58
39049,78.89,96.5,92.39
70893,54.66,91.29,89.31
87697,74.55,91.4,86.99
32321,100,100,100
16230,88.86,88.19,93.84
25455,63.27,77.84,85.28
52043,60.5,87.47,84.6
70075,91.85,89.88,98.18
62967,46.96,73.05,78.58
10498,30.17,93.61,77.06
25101,75.45,94.65,90.15
87235,65.56,67.11,91.64
90172,81.74,96.91,93.88
49464,78.78,92.77,90.67
11306,64.58,91.23,89.66
62031,12.98,66.44,53.16
70268,49.92,77.72,81.15
70323,84.59,94.73,92.85
40012,65.82,73.34,86.19
30256,56.85,86.94,72.08
63419,48.53,78.23,80.85
62986,27.37,44,63.34
55889,90.8,89.29,93.78
20151,65.75,82.95,88.03
49267,49.2,79.36,88.11
32092,60.23,97.89,84.26
56006,75.19,72.13,89.17
18343,79.57,96.87,91.4
18151,79.5,88.28,93.87
63902,71.54,92.87,80.53
63298,48.46,91.89,71.99
63508,70.61,85.72,82.27
63033,58,81.96,79.08
61339,41,87.65,76.24
