Provider PHIN ID,Provider,Site PHIN ID,Site,Sector,Site Profile URL,Site URL,Site Address 1,Site Address 2,Site City,Site Postcode,Site Longitude,Site Latitude,Site ODS Code,Site GOR,Provider ODS Code,Regulator,Regulator ID,Regulator Rating
PHIN-92V,152 Harley Street,PHIN-GRL104,152 Harley Street,IND,https://www.phin.org.uk/profiles/hospitals/152-harley-street-59911,,152 Harley Street,,London,W1G 7LH,-0.149,51.523,,London,DCK,CQC,1-224446773,
PHIN-39B,Abertawe Bro Morgannwg University Health Board,PHIN-BGE002,Bridgend Clinic,NHS PPU,https://www.phin.org.uk/profiles/hospitals/bridgend-clinic-90390,,Princess of Wales Hospital,Coity Road,Bridgend,CF31 1RQ,-3.572,51.518,NNY01,Wales,7A3,HIW,,
PHIN-39B,Abertawe Bro Morgannwg University Health Board,PHIN-SWA002,Morriston Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/morriston-hospital-59834,http://www.wales.nhs.uk/sitesplus/863/home,Heol Maes Eglwys,Morriston,Swansea,SA6 6NL,-3.935,51.685,7A3C7,Wales,7A3,HIW,,
PHIN-39B,Abertawe Bro Morgannwg University Health Board,PHIN-NTL001,Neath Port Talbot Hospital,NHS PPU,,,,,,SA12 7BX,-3.800,51.599,7A3CJ,Wales,7A3,HIW,,
PHIN-39B,Abertawe Bro Morgannwg University Health Board,PHIN-BGE001,Princess of Wales Hospital,NHS PPU,,,,,,CF31 1RQ,-3.572,51.518,NX116,Wales,7A3,HIW,,
PHIN-39B,Abertawe Bro Morgannwg University Health Board,PHIN-SWA003,Singleton Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/singleton-hospital-59366,,Sketty Lane,,Swansea,SA2 8QA,-3.985,51.609,7A3C4,Wales,7A3,HIW,,
PHIN-53S,Aesthetic Beauty Centre,PHIN-SND030,Ashmore Consulting Room,IND,,,,,,SR2 7DE,-1.384,54.899,,North East,,CQC,,
PHIN-53S,Aesthetic Beauty Centre,PHIN-NET021,The Old Vicarage,IND,,,,,,NE4 8DP,-1.649,54.970,,North East,,CQC,,
PHIN-96T,Aesthetic Plastic Surgery LTD,PHIN-GRL314,Aesthetic Plastic Surgery Ltd,IND,,,,,,W1G 6AB,-0.149,51.520,,London,,CQC,,
PHIN-28V,Airedale NHS Foundation Trust,PHIN-BRD003,Airedale General Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/airedale-general-hospital-28033,http://www.airedale-trust.nhs.uk/,Skipton Road,Steeton,Keighley,BD20 6TD,-1.963,53.898,RCF22,Yorkshire and The Humber,RCF,CQC,RCF22,Requires improvement
PHIN-98C,Alder Hey Children's NHS Foundation Trust,PHIN-LIV005,Alder Hey Children's Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/alder-hey-children's-hospital-27160,http://www.alderhey.nhs.uk/,Eaton Road,West Derby,Liverpool,L12 2AP,-2.899,53.420,RBS25,North West,RBS,CQC,RBS25,Good
PHIN-10Z,Alexandra Health Care Limited,PHIN-DBY004,Alexandra Private Hospital,IND,,,,,,S41 7SL,-1.426,53.239,,East Midlands,,CQC,1-114136771,
PHIN-92C,Ambulatory Surgery International,PHIN-GRL304,One Welbeck ,IND,,,,,,W1G 0AR,-0.148,51.516,,London,,CQC,,
PHIN-92C,Ambulatory Surgery International,PHIN-GRL284,OneWelbeck Digestive Health,IND,https://www.phin.org.uk/profiles/hospitals/onewelbeck-digestive-health-98888,https://onewelbeck.com/digestive-health/,1 Welbeck Street,3 Welbeck Street,London,W1G 0AR,-0.148,51.516,,London,,CQC,1-7124003259,Good
PHIN-92C,Ambulatory Surgery International,PHIN-GRL288,OneWelbeck Heart Health,IND,,,,,,W1G 0AR,-0.148,51.516,DYF02,London,,CQC,,
PHIN-92C,Ambulatory Surgery International,PHIN-GRL306,OneWelbeck Imaging & Diagnostics,IND,,,,,,W1G 0AR,-0.148,51.516,,London,,CQC,,
PHIN-92C,Ambulatory Surgery International,PHIN-GRL305,OneWelbeck Surgery Centre,IND,https://www.phin.org.uk/profiles/hospitals/onewelbeck-surgery-centre-102585,https://onewelbeck.com/one-welbeck-surgery-centre/,1 Welbeck Street,3 Welbeck Street,London,W1G 0AR,-0.148,51.516,,London,,CQC,,
PHIN-92J,Aneurin Bevan University Health Board,PHIN-MON001,Nevill Hall Hospital,NHS PPU,https://www.phin.org.uk/profiles/hospitals/nevill-hall-hospital-59386,,Brecon Road,,Abergavenny,NP7 7EG,-3.034,51.825,7A6AM,Wales,7A6,HIW,,
