Area,Employment_Percentage
Aberdeen City,71.8
Aberdeenshire,79.5
Angus,72.2
Argyll and Bute,75.8
Clackmannanshire,72.9
Dumfries and Galloway,68.3
Dundee City,71.7
East Ayrshire,73
East Dunbartonshire,75.9
East Lothian,75.3
East Renfrewshire,73.6
"Edinburgh, City of",73.9
Falkirk,75.2
Fife,70.4
Glasgow City,69.8
Highland,78.6
Inverclyde,68.2
Midlothian,77.4
Moray,75.3
Na h-Eileanan Siar,81
North Ayrshire,67.7
North Lanarkshire,69.7
Orkney Islands,83.7
Perth and Kinross,75.3
Renfrewshire,77.1
Scottish Borders,79.3
Shetland Islands,74.6
South Ayrshire,71.9
South Lanarkshire,76.9
Stirling,74.8
West Dunbartonshire,72.8
West Lothian,74.5
