gp_practice,gp_number,DataZone,PracticeListSize,q1_positive,q2_positive,q3_positive,income_rank,employment_rank,health_rank,housing_rank,education_rank,access_rank,employment_rate,CIF,working_age_percentage,urban_location,minority_pop,age_distribution,gender_distribution,employment_percentage
Abbey Medical Centre - Paisley (87625),87625,S01012126,11096,73.31,97.44,91.45,4547,4358,4365,2335,4351,4678,0.06,65,75.3,1,8.46,71.12,50.11,77.1
Abercromby Practice - Glasgow (46555),46555,S01010055,3281,78.51,93.93,87.44,195,69,10,215,416,5869,0.31,250,69.65,1,9.06,69.95,48.86,69.8
Aberfeldy And Kinloch Rannoch Medical Practice - Aberfeldy (10036),10036,S01012014,4758,87.11,95.03,98.06,3725,3780,4372,3547,3288,6676,0.07,70,59.16,0,9.93,60.53,49.52,75.3
Aberfoyle & Buchlyvie Medical Centres - Buchlyvie (25968),25968,S01013014,2348,81.81,92.53,94.82,4669,5111,5130,5314,5819,3789,0.04,55,63.15,0,3.42,64.95,51.36,74.8
Aberlour Health Centre - Aberlour (33004),33004,S01011052,3319,25.34,53.32,67.33,5087,4575,4416,2738,4618,5033,0.05,55,53.82,0,7.13,61.22,49.47,75.3
Abingdon Medical Practice - Glasgow (40070),40070,S01010386,3988,73.95,70.04,88.54,987,1350,696,172,1849,6890,0.15,195,81.96,1,14.25,82.37,49.25,69.8
Aboyne Health Centre  Incl. Tarland - Aboyne (32290),32290,S01006799,6663,83.36,81.07,93.79,4404,4011,4300,5153,3701,4797,0.06,60,56.78,0,1.77,58.31,49.71,79.5
Abronhill Medical Group - Cumbernauld (61377),61377,S01011761,4603,50.79,78.83,79.67,2176,3242,2436,3295,1654,6612,0.08,155,68.42,1,5,66.67,50.23,69.7
Academy Medical Centre - Forfar (13231),13231,S01007256,9206,40.46,87.4,72.1,1863,2098,2937,2861,1210,6271,0.12,110,61.19,1,7.51,61.5,49.12,72.2
Acharacle Medical Practice - Argyll (55662),55662,S01010505,1389,84.28,94.22,98.71,3861,3291,5107,2776,6196,33,0.08,65,59.65,0,2.51,58.53,49.32,78.6
Adam Avenue Practice - Airdrie (61061),61061,S01011643,9715,45.42,72.76,78.26,4137,5612,2752,3339,4476,5212,0.03,95,66.91,1,6.61,63.2,52.35,69.7
Aird Medical Practice - Beauly (55696),55696,S01010661,3302,77.63,89.14,89.14,2379.5,2476,3298,4043,3867,6598,0.11,85,58.67,0,3.98,60.42,50.79,78.6
Airlie Medical Practice - Fife (21524),21524,S01009635,8162,52.82,79.22,80.15,1788,909,1242,3742,1707,5238,0.18,135,61.89,1,2.49,64.09,49.93,70.4
Albyn Medical Practice - Aberdeen (30909),30909,S01006571,10617,79.29,81.48,89.64,6029,6230,6727,3853,6699,6283,0.02,25,69.7,1,13.4,74.41,49.3,71.8
Alcluith Practice - Dumbarton (85032),85032,S01013195,2548,74.27,89.74,94,1961,2054,1721,1351,3642,6476,0.12,140,68.85,1,3.03,63.97,51.1,72.8
Alford Medical Practice - Alford (31808),31808,S01006884,5799,62.26,91.11,87.7,4481,5031,5543,5895,5639,6131,0.04,60,59.52,0,1.69,61.44,48.66,79.5
Allan Park Medical Practice - Stirling (25686),25686,S01013063,3758,70.3,96.26,86.58,5021,6192.5,5511,5989,6862,5655,0.02,50,59.63,1,6.97,69.72,51.84,74.8
Allander Surgery - Glasgow (43294),43294,S01010323,3565,61.72,64.15,77.68,1,6,1,241,328,6573,0.43,370,62.42,1,11.94,69.57,48.98,69.8
