GP Practice,GP Practice No,Question Number,"Questionnaire 
Section",Question Text,Number of Responses,% Positive,% Neutral,% Negative
Abbey Medical Centre - Paisley (87625),87625,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,109,72.7,0,27.3
Abercromby Practice - Glasgow (46555),46555,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,104,73.31,0,26.69
Aberfeldy And Kinloch Rannoch Medical Practice - Aberfeldy (10036),10036,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,126,98.37,0,1.63
Aberfoyle & Buchlyvie Medical Centres - Buchlyvie (25968),25968,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,115,96.95,0,3.05
Aberlour Health Centre - Aberlour (33004),33004,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,127,59.41,0,40.59
Abingdon Medical Practice - Glasgow (40070),40070,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,118,90.66,0,9.34
Aboyne Health Centre  Incl. Tarland - Aboyne (32290),32290,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,118,92.84,0,7.16
Abronhill Medical Group - Cumbernauld (61377),61377,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,121,63.8,0,36.2
Academy Medical Centre - Forfar (13231),13231,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,100,66.34,0,33.66
Acharacle Medical Practice - Argyll (55662),55662,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,118,99.2,0,0.8
Adam Avenue Practice - Airdrie (61061),61061,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,125,47.59,0,52.41
Aird Medical Practice - Beauly (55696),55696,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,125,86.23,0,13.77
Airlie Medical Practice - Fife (21524),21524,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,104,75.73,0,24.27
Albyn Medical Practice - Aberdeen (30909),30909,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,106,86.16,0,13.84
Alcluith Practice - Dumbarton (85032),85032,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,98,68.8,0,31.2
Alford Medical Practice - Alford (31808),31808,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,110,72.11,0,27.89
Allan Park Medical Practice - Stirling (25686),25686,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,106,83.9,0,16.1
Allander Surgery - Glasgow (43294),43294,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,105,80,0,20
Almond Group Practice - Kirkliston (78359),78359,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,129,78.65,0,21.35
Alness/Invergordon Med Prcte - Alness (55338),55338,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,125,61.42,0,38.58
Alva Medical Practice - Alva (25046),25046,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,123,53.97,0,46.03
Alyth Health Centre - Alyth (10125),10125,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,119,92.77,0,7.23
An Caorann Medical Practice - Portsoy (31456),31456,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,103,64.72,0,35.28
Anchor Mill Medical Practice - Paisley (87471),87471,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,112,70.25,0,29.75
ANCRUM MEDICAL CENTRE - Dundee (12210),12210,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,117,79.98,0,20.02
ANCRUM ONE - Dundee (11096),11096,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,80,89.16,0,10.84
"Annandale Medical Practice - Bellevue Medical Centre, Edinburgh (70499)",70499,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,102,89.11,0,10.89
Annat Bank Practice - Montrose (13706),13706,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,110,93.87,0,6.13
Annfield Medical Centre - Glasgow (46127),46127,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,114,98.35,0,1.65
Anniesland Medical Practice - Glasgow (40051),40051,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,119,92.89,0,7.11
Anstruther Medical Practice - Fife (20004),20004,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,119,67.2,0,32.8
Antonine Medical Practice - Bonnybridge (25192),25192,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,101,71.77,0,28.23
Applecross Surgery - Ross And Cromarty (55342),55342,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,72,100,0,0
Arbroath Medical Centre - Arbroath (10182),10182,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,109,58.26,0,41.74
Ardach Health Centre - Banffshire (32586),32586,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,125,78.56,0,21.44
Ardblair Medical Practice - Blairgowrie (10407),10407,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,120,79.09,0,20.91
Ardgowan Medical Practice - Greenock (86177),86177,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,119,56.29,0,43.71
Ardoch Medical Practice - Glasgow (60209),60209,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,107,95.89,0,4.11
Ark Medical Practice - Falkirk (25277),25277,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,96,94.45,0,5.55
Armadale Group Practice - Armadale (78241),78241,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,148,44.86,0,55.14
Armadale Medical Practice - Sutherland (55183),55183,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,99,92.71,0,7.29
Arran Medical Group - Isle of Arran (80927),80927,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,129,93.64,0,6.36
Ashfield Medical Practice - Milngavie (40173),40173,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,128,82.15,0,17.85
Ashgrove Group Practice - Blackburn (78330),78330,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,100,92.54,0,7.46
