Postcode,DataZone2011Code
EH9 2LR,S01008589
EH9 2HY,S01008624
EH9 2JF,S01008610
EH9 2JG,S01008610
EH9 2JH,S01008610
EH9 2JX,S01008607
EH9 2JY,S01008610
EH9 2LA,S01008609
EH9 2LL,S01008606
EH9 2LY,S01008589
EH9 2LZ,S01008589
EH9 2NA,S01008589
EH9 2NB,S01008606
EH9 2NQ,S01008606
EH9 2NR,S01008605
EH9 2NY,S01008606
EH9 2NZ,S01008606
EH9 2LT,S01008606
EH9 2LU,S01008606
EH9 2LW,S01008606
EH9 2LX,S01008589
EH9 2NJ,S01008606
EH9 2NS,S01008605
EH9 2NT,S01008605
EH9 2NU,S01008607
EH9 2PJ,S01008608
EH9 2PL,S01008588
EH9 2PN,S01008608
EH9 2PU,S01008591
EH9 3AA,S01008591
EH9 3AB,S01008590
EH9 3AB,S01008591
EH9 3AD,S01008594
EH9 2ND,S01008606
EH9 2NL,S01008606
EH9 2NN,S01008605
EH9 2NP,S01008605
EH9 2PA,S01008606
EH9 2PB,S01008591
EH9 2PD,S01008606
EH9 2LS,S01008589
EH9 2NE,S01008591
EH9 2NF,S01008589
EH9 2NG,S01008606
EH9 2NH,S01008591
EH9 2NW,S01008605
EH9 2NX,S01008607
EH9 2PG,S01008608
EH9 2PH,S01008609
EH9 2PW,S01008608
EH9 2PX,S01008589
EH9 2PY,S01008589
EH9 2QX,S01008610
EH9 3AE,S01008594
EH9 3AN,S01008593
EH9 3AP,S01008593
EH9 3AQ,S01008591
EH9 3BB,S01008587
EH9 3BD,S01008587
EH9 3BE,S01008587
EH6 8NN,S01008794
EH6 8NP,S01008796
EH6 8NR,S01008796
EH6 8NT,S01008796
EH6 8PD,S01008797
EH6 8PE,S01008796
EH6 8PF,S01008797
EH6 8PG,S01008798
EH6 8PH,S01008797
EH6 8PT,S01008794
EH6 8PT,S01008794
EH6 8PU,S01008796
EH6 8PW,S01008797
EH6 8PX,S01008794
EH6 8LY,S01008796
EH6 8NA,S01008796
EH6 8NB,S01008794
EH6 8NB,S01008794
EH6 8NJ,S01008793
EH6 8NW,S01008794
EH6 8NX,S01008796
EH6 8NY,S01008797
EH6 8NZ,S01008797
EH6 8PB,S01008797
EH6 8PJ,S01008797
EH6 8PL,S01008797
EH6 8PN,S01008797
EH6 8PQ,S01008797
EH6 8PS,S01008794
EH6 8PX,S01008794
EH6 8PY,S01008796
EH6 8PZ,S01008796
EH6 8QA,S01008796
EH6 8QB,S01008795
EH6 8QJ,S01008797
EH6 8QL,S01008796
EH6 8QN,S01008796
EH6 8QP,S01008796
EH6 8QQ,S01008795
EH6 8RA,S01008803
AB1 0PE,S01006512
AB1 0PG,S01006512
AB1 0PJ,S01006512
AB1 0PL,S01006512
AB1 0PN,S01006512
AB1 0PP,S01006512
AB1 0PQ,S01006512
AB1 0PR,S01006512
AB1 0PT,S01006506
AB1 0PU,S01006506
AB1 0PX,S01006506
AB1 0QA,S01006506
AB1 0QB,S01006510
AB1 0QD,S01006510
AB1 0QG,S01006510
AB1 0QJ,S01006510
AB1 0QL,S01006511
AB1 0QN,S01006511
AB1 0QP,S01006511
AB1 0QQ,S01006514
AB1 0QR,S01006511
AB1 0QS,S01006514
AB1 0QT,S01006511
AB1 0QX,S01006514
AB1 0RA,S01006514
AB1 0RJ,S01006511
AB1 0RL,S01006511
AB1 0RN,S01006511
AB1 0RP,S01006511
AB1 0RQ,S01006511
AB1 0RX,S01006510
AB1 0RY,S01006507
AB1 0RZ,S01006507
AB1 0SA,S01006506
AB1 0SB,S01006506
AB1 0SJ,S01006510
AB1 0SL,S01006510
AB1 0SN,S01006510
AB1 0SP,S01006510
